Id,nombre,id_area,tipo_formación,id_nivel
1,ACUICULTURA,2,Tercer Nivel,2
2,ADMINISTRACIÓN,1,Tercer Nivel,2
3,ADMINISTRACIÓN AGRÍCOLA Y COMERCIALIZACIÓN DE PRODUCTOS PRIMARIOS,1,Tercer Nivel,2
4,ADMINISTRACIÓN AMBIENTAL,1,Tercer Nivel,2
5,ADMINISTRACIÓN DE ALIMENTOS Y BEBIDAS,1,Tercer Nivel,2
6,ADMINISTRACIÓN DE BOTICAS Y FARMACIAS,1,Tercer Nivel,2
7,ADMINISTRACIÓN DE EMPRESAS,1,Tercer Nivel,2
8,ADMINISTRACIÓN DE EMPRESAS AGROPECUARIAS,1,Tercer Nivel,2
9,ADMINISTRACIÓN DE EMPRESAS COMERCIALIZADORAS DE TURISMO,9,Tercer Nivel,2
10,ADMINISTRACIÓN DE EMPRESAS DE SERVICIO Y RECURSOS HUMANOS,1,Tercer Nivel,2
11,ADMINISTRACIÓN DE EMPRESAS ÉNFASIS ADMINISTRACIÓN DE RECURSOS HUMANOS,1,Tercer Nivel,2
12,ADMINISTRACIÓN DE EMPRESAS ÉNFASIS ADMINISTRACIÓN DE VENTAS,1,Tercer Nivel,2
13,ADMINISTRACIÓN DE EMPRESAS ÉNFASIS GESTIÓN EMPRESARIAL,1,Tercer Nivel,2
14,ADMINISTRACIÓN DE EMPRESAS ÉNFASIS GESTIÓN FINANCIERA,1,Tercer Nivel,2
15,ADMINISTRACIÓN DE EMPRESAS ÉNFASIS MARKETING,1,Tercer Nivel,2
16,ADMINISTRACIÓN DE EMPRESAS ÉNFASIS NEGOCIOS INTERNACIONALES,1,Tercer Nivel,2
17,ADMINISTRACIÓN DE EMPRESAS HOTELERAS,1,Tercer Nivel,2
18,ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS,1,Tercer Nivel,2
19,ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS E INDUSTRIAS DE LA RECREACIÓN,1,Tercer Nivel,2
20,ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS Y CONSERVACIÓN AMBIENTAL,1,Tercer Nivel,2
21,ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS Y HOTELERAS,1,Tercer Nivel,2
22,ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS Y HOTELERAS BILINGÜE,1,Tercer Nivel,2
23,ADMINISTRACIÓN DE EMPRESAS Y NEGOCIOS,1,Tercer Nivel,2
24,ADMINISTRACIÓN DE HOTELERÍA Y TURISMO,1,Tercer Nivel,2
25,ADMINISTRACIÓN DE TRANSPORTE MARÍTIMO Y PORTUARIO,1,Tercer Nivel,2
26,ADMINISTRACIÓN DE VENTAS,1,Tercer Nivel,2
27,ADMINISTRACIÓN DEL TALENTO HUMANO,1,Tercer Nivel,2
28,ADMINISTRACIÓN EN BANCA Y FINANZAS,1,Tercer Nivel,2
29,ADMINISTRACIÓN EN GESTIÓN PUBLICA,1,Tercer Nivel,2
30,ADMINISTRACIÓN FINANCIERA,1,Tercer Nivel,2
31,ADMINISTRACIÓN HOTELERA,1,Tercer Nivel,2
32,ADMINISTRACIÓN HOTELERA Y TURÍSTICA,1,Tercer Nivel,2
33,ADMINISTRACIÓN PARA DESASTRES Y GESTIÓN DEL RIESGO,1,Tercer Nivel,2
34,ADMINISTRACIÓN PORTUARIA Y ADUANERA,9,Tercer Nivel,2
35,ADMINISTRACIÓN PUBLICA,1,Tercer Nivel,2
36,ADMINISTRACIÓN TURÍSTICA,1,Tercer Nivel,2
37,ADMINISTRACIÓN TURÍSTICA Y HOTELERA,1,Tercer Nivel,2
38,ADMINISTRACIÓN Y DESARROLLO PORTUARIO,1,Tercer Nivel,2
39,ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS TURÍSTICAS,1,Tercer Nivel,2
40,ADMINISTRACIÓN Y GESTIÓN TECNOLÓGICA DE PEQUEÑAS Y MEDIANAS EMPRESAS (PYMES),1,Tercer Nivel,2
41,ADMINISTRACIÓN Y PLANIFICACIÓN DE PROYECTOS INFORMÁTICOS,1,Tercer Nivel,2
42,ADMINISTRACIÓN Y PLANIFICACIÓN EN EL CUIDADO DE LA SALUD,1,Tercer Nivel,2
43,ADMINISTRACIÓN Y PRODUCCIÓN AGROPECUARIA,1,Tercer Nivel,2
44,AGROINDUSTRIA,7,Tercer Nivel,2
45,AGRONEGOCIOS,1,Tercer Nivel,2
46,AGRONOMÍA,2,Tercer Nivel,2
47,AGROPECUARIA,2,Tercer Nivel,2
48,ALIMENTOS,7,Tercer Nivel,2
49,ANIMACIÓN DIGITAL,3,Tercer Nivel,2
50,ANTROPOLOGÍA,5,Tercer Nivel,2
51,ANTROPOLOGÍA APLICADA,5,Tercer Nivel,2
52,ANTROPOLOGÍA CON MENCIÓN EN ANTROPOLOGÍA SOCIOCULTURAL,5,Tercer Nivel,2
53,ANTROPOLOGÍA CON MENCIÓN EN ARQUEOLOGÍA,5,Tercer Nivel,2
54,ARQUEOLOGÍA,3,Tercer Nivel,2
55,ARQUITECTURA,7,Tercer Nivel,2
56,ARQUITECTURA INTERIOR,7,Tercer Nivel,2
57,ARTES CULINARIAS,3,Tercer Nivel,2
58,ARTES LIBERALES,5,Tercer Nivel,2
59,ARTES MUSICALES,3,Tercer Nivel,2
