Id,nombre,id_catalogo,id_detalle
1,Europa,1,
2,Asia,1,
3,África,1,
4,Oceanía,1,
5,América del Norte,1,
6,América del Sur,1,
7,América Central,1,
8,Antártida,1,
9,Antártida,2,8
10,Afganistán,2,2
11,Albania,2,1
12,Alemania,2,1
13,Algeria,2,3
14,Andorra,2,1
15,Angola,2,3
16,Anguila,2,3
17,Antigua y Barbuda,2,7
18,Antillas Neerlandesas,2,3
19,Arabia Saudita,2,2
20,Argentina,2,6
21,Armenia,2,2
22,Aruba,2,7
23,Australia,2,4
24,Austria,2,1
25,Azerbayán,2,2
26,Bélgica,2,1
27,Bahamas,2,7
28,Bahrein,2,2
29,Bangladesh,2,2
30,Barbados,2,7
31,Belice,2,7
32,Benín,2,3
33,Bhután,2,2
34,Bielorrusia,2,1
35,Birmania,2,2
36,Bolivia,2,6
37,Bosnia y Herzegovina,2,1
38,Botsuana,2,3
39,Brasil,2,6
40,Brunéi,2,2
41,Bulgaria,2,1
42,Burkina Faso,2,3
43,Burundi,2,3
44,Cabo Verde,2,3
45,Camboya,2,2
46,Camerún,2,3
47,Canadá,2,5
48,Chad,2,3
49,Chile,2,6
50,China,2,2
51,Chipre,2,1
52,Ciudad del Vaticano,2,1
53,Colombia,2,6
54,Comoras,2,3
55,Congo,2,3
56,Corea del Norte,2,2
57,Corea del Sur,2,2
58,Costa de Marfil,2,3
59,Costa Rica,2,7
60,Croacia,2,1
61,Cuba,2,7
62,Dinamarca,2,1
63,Dominica,2,7
64,Ecuador,2,6
65,Egipto,2,3
66,El Salvador,2,7
67,Emiratos Árabes Unidos,2,2
68,Eritrea,2,3
69,Eslovaquia,2,1
70,Eslovenia,2,1
71,España,2,1
72,Estados Unidos de América,2,5
73,Estonia,2,1
74,Etiopía,2,3
75,Filipinas,2,2
76,Finlandia,2,1
77,Fiyi,2,4
78,Francia,2,1
79,Gabón,2,3
80,Gambia,2,3
81,Georgia,2,2
82,Ghana,2,3
83,Gibraltar,2,3
84,Granada,2,7
85,Grecia,2,1
86,Groenlandia,2,3
87,Guadalupe,2,3
88,Guam,2,3
89,Guatemala,2,7
90,Guayana Francesa,2,3
91,Guernsey,2,3
92,Guinea,2,3
93,Guinea Ecuatorial,2,3
94,Guinea-Bissau,2,3
95,Guyana,2,6
96,Haití,2,7
97,Honduras,2,7
98,Hong kong,2,3
99,Hungría,2,1
100,India,2,2
101,Indonesia,2,2
102,Irán,2,2
103,Irak,2,2
104,Irlanda,2,1
105,Isla Bouvet,2,3
106,Isla de Man,2,3
107,Isla de Navidad,2,3
108,Isla Norfolk,2,3
109,Islandia,2,1
110,Islas Bermudas,2,3
111,Islas Caimán,2,3
112,Islas Cocos (Keeling),2,3
113,Islas Cook,2,3
114,Islas de Åland,2,3
115,Islas Feroe,2,3
116,Islas Georgias del Sur y Sandwich del Sur,2,3
117,Islas Heard y McDonald,2,3
118,Islas Maldivas,2,3
119,Islas Malvinas,2,3
120,Islas Marianas del Norte,2,3
121,Islas Marshall,2,4
122,Islas Pitcairn,2,3
123,Islas Salomón,2,4
124,Islas Turcas y Caicos,2,7
125,Islas Ultramarinas Menores de Estados Unidos,2,3
126,Islas Vírgenes Británicas,2,7
127,Islas Vírgenes de los Estados Unidos,2,3
128,Israel,2,2
129,Italia,2,1
130,Jamaica,2,3
131,Japón,2,2
132,Jersey,2,3
133,Jordania,2,2
134,Kazajistán,2,2
135,Kenia,2,3
136,Kirgizstán,2,2
137,Kiribati,2,4
138,Kuwait,2,2
139,Líbano,2,2
140,Laos,2,2
141,Lesoto,2,3
142,Letonia,2,1
143,Liberia,2,3
144,Libia,2,3
145,Liechtenstein,2,1
146,Lituania,2,1
147,Luxemburgo,2,1
148,México,2,5
149,Mónaco,2,1
150,Macao,2,3
151,Macedônia,2,1
152,Madagascar,2,3
153,Malasia,2,2
154,Malawi,2,3
155,Mali,2,3
156,Malta,2,1
157,Marruecos,2,3
158,Martinica,2,3
159,Mauricio,2,3
160,Mauritania,2,3
161,Mayotte,2,3
162,Micronesia,2,4
163,Moldavia,2,1
164,Mongolia,2,2
165,Montenegro,2,1
166,Montserrat,2,3
167,Mozambique,2,3
168,Namibia,2,3
169,Nauru,2,4
170,Nepal,2,2
171,Nicaragua,2,7
172,Niger,2,3
173,Nigeria,2,3
174,Niue,2,3
175,Noruega,2,1
176,Nueva Caledonia,2,3
177,Nueva Zelanda,2,4
178,Omán,2,2
179,Países Bajos,2,1
180,Pakistán,2,2
181,Palau,2,4
182,Palestina,2,3
183,Panamá,2,7
184,Papúa Nueva Guinea,2,4
185,Paraguay,2,6
186,Perú,2,6
187,Polinesia Francesa,2,3
188,Polonia,2,1
189,Portugal,2,1
190,Puerto Rico,2,7
191,Qatar,2,3
192,Reino Unido,2,1
193,República Centroafricana,2,3
194,República Checa,2,1
195,República Dominicana,2,7
196,Reunión,2,3
197,Ruanda,2,3
198,Rumanía,2,1
199,Rusia,2,1
200,Sahara Occidental,2,3
201,Samoa,2,4
202,Samoa Americana,2,3
203,San Bartolomé,2,3
204,San Cristóbal y Nieves,2,3
205,San Marino,2,1
206,San Martín (Francia),2,3
207,San Pedro y Miquelón,2,3
208,San Vicente y las Granadinas,2,3
209,Santa Elena,2,3
210,Santa Lucía,2,7
211,Santo Tomé y Príncipe,2,3
212,Senegal,2,3
213,Serbia,2,1
214,Seychelles,2,3
215,Sierra Leona,2,3
216,Singapur,2,2
217,Siria,2,2
218,Somalia,2,3
219,Sri lanka,2,2
220,Sudáfrica,2,3
221,Sudán,2,3
222,Suecia,2,1
223,Suiza,2,1
224,Surinám,2,6
225,Svalbard y Jan Mayen,2,3
226,Swazilandia,2,3
227,Tadjikistán,2,2
228,Tailandia,2,2
229,Taiwán,2,3
230,Tanzania,2,3
231,Territorio Británico del Océano Índico,2,3
232,Territorios Australes y Antárticas Franceses,2,3
233,Timor Oriental,2,2
234,Togo,2,3
235,Tokelau,2,3
236,Tonga,2,4
237,Trinidad y Tobago,2,7
238,Tunez,2,3
239,Turkmenistán,2,3
240,Turquía,2,2
241,Tuvalu,2,4
242,Ucrania,2,1
243,Uganda,2,3
244,Uruguay,2,6
245,Uzbekistán,2,2
246,Vanuatu,2,4
247,Venezuela,2,6
248,Vietnam,2,2
249,Wallis y Futuna,2,3
250,Yemen,2,2
251,Yibuti,2,3
252,Zambia,2,3
253,Zimbabue,2,3
254,Zona 1,3,64
255,Zona 2,3,64
256,Zona 3,3,64
257,Zona 4,3,64
258,Zona 5,3,64
259,Zona 6,3,64
260,Zona 7,3,64
261,Azuay,4,259
262,Bolívar,4,258
263,Cañar,4,259
264,Carchi,4,254
265,Chimborazo,4,256
266,Cotopaxi,4,256
267,El Oro,4,260
268,Esmeraldas,4,254
269,Galápagos,4,258
270,Guayas,4,258
271,Imbabura,4,254
272,Loja,4,260
273,Los Ríos,4,258
274,Manabí,4,257
275,Morona Santiago,4,259
276,Napo,4,255
277,Orellana,4,255
278,Pastaza,4,256
279,Pichincha,4,255
280,Santa Elena,4,258
281,Santo Domingo de los Tsáchilas,4,257
282,Sucumbíos,4,254
283,Tunguragua,4,256
284,Zamora Chinchipe,4,260
285,Gualaceo,5,261
286,Paute,5,261
287,Santa Isabel,5,261
288,Girón,5,261
289,Nabon,5,261
290,Pucara,5,261
291,San Fernando,5,261
292,Sigsig,5,261
293,Caluma,5,262
294,Chillanes,5,262
295,Echeandía,5,262
296,Guaranda,5,262
297,La Asunción,5,262
