Europa,1,
Asia,1,
África,1,
Oceanía,1,
América del Norte,1,
América del Sur,1,
Antártida,1,
Afganistán,2,2
Albania,2,3
Alemania,2,1
Algeria,2,3
Andorra,2,3
Angola,2,3
Anguila,2,3
Antártida,2,7
Antigua y Barbuda,2,3
Antillas Neerlandesas,2,3
Arabia Saudita,2,2
Argentina,2,6
Armenia,2,2
Aruba,2,3
Australia,2,4
Austria,2,1
Azerbayán,2,2
Bélgica,2,1
Bahamas,2,3
Bahrein,2,2
Bangladesh,2,2
Barbados,2,3
Belice,2,6
Benín,2,3
Bhután,2,2
Bielorrusia,2,3
Birmania,2,2
Bolivia,2,6
Bosnia y Herzegovina,2,3
Botsuana,2,3
Brasil,2,6
Brunéi,2,2
Bulgaria,2,1
Burkina Faso,2,3
Burundi,2,3
Cabo Verde,2,3
Camboya,2,2
Camerún,2,3
Canadá,2,5
Chad,2,3
Chile,2,6
China,2,2
Chipre,2,1
Ciudad del Vaticano,2,3
Colombia,2,6
Comoras,2,3
Congo,2,3
Congo,2,3
Corea del Norte,2,2
Corea del Sur,2,2
Costa de Marfil,2,3
Costa Rica,2,6
Croacia,2,1
Cuba,2,3
Dinamarca,2,1
Dominica,2,3
Ecuador,2,6
Egipto,2,3
El Salvador,2,6
Emiratos Árabes Unidos,2,2
Eritrea,2,3
Eslovaquia,2,1
Eslovenia,2,1
España,2,1
Estados Unidos de América,2,3
Estonia,2,1
Etiopía,2,3
Filipinas,2,2
Finlandia,2,1
Fiyi,2,4
Francia,2,1
Gabón,2,3
Gambia,2,3
Georgia,2,2
Ghana,2,3
Gibraltar,2,3
Granada,2,3
Grecia,2,1
Groenlandia,2,3
Guadalupe,2,3
Guam,2,3
Guatemala,2,3
Guayana Francesa,2,6
Guernsey,2,3
Guinea,2,3
Guinea Ecuatorial,2,3
Guinea-Bissau,2,3
Guyana,2,3
Haití,2,3
Honduras,2,6
Hong kong,2,3
Hungría,2,1
India,2,2
Indonesia,2,2
Irán,2,2
Irak,2,2
Irlanda,2,1
Isla Bouvet,2,3
Isla de Man,2,3
Isla de Navidad,2,3
Isla Norfolk,2,3
Islandia,2,3
Islas Bermudas,2,3
Islas Caimán,2,3
Islas Cocos (Keeling),2,3
Islas Cook,2,3
Islas de Åland,2,3
Islas Feroe,2,3
Islas Georgias del Sur y Sandwich del Sur,2,3
Islas Heard y McDonald,2,3
Islas Maldivas,2,3
Islas Malvinas,2,3
Islas Marianas del Norte,2,3
Islas Marshall,2,4
Islas Pitcairn,2,3
Islas Salomón,2,4
Islas Turcas y Caicos,2,3
Islas Ultramarinas Menores de Estados Unidos,2,3
Islas Vírgenes Británicas,2,3
Islas Vírgenes de los Estados Unidos,2,3
Israel,2,2
Italia,2,1
Jamaica,2,3
Japón,2,2
Jersey,2,3
Jordania,2,2
Kazajistán,2,2
Kenia,2,3
Kirgizstán,2,2
Kiribati,2,4
Kuwait,2,2
Líbano,2,3
Laos,2,2
Lesoto,2,3
Letonia,2,1
Liberia,2,3
Libia,2,2
Liechtenstein,2,3
Lituania,2,1
Luxemburgo,2,1
México,2,5
Mónaco,2,3
Macao,2,3
Macedônia,2,3
Madagascar,2,3
Malasia,2,2
Malawi,2,3
Mali,2,3
Malta,2,1
Marruecos,2,3
Martinica,2,3
Mauricio,2,3
Mauritania,2,3
Mayotte,2,3
Micronesia,2,4
Moldavia,2,3
Mongolia,2,2
Montenegro,2,3
Montserrat,2,3
Mozambique,2,3
Namibia,2,3
Nauru,2,4
Nepal,2,2
Nicaragua,2,6
Niger,2,3
Nigeria,2,3
Niue,2,3
Noruega,2,3
Nueva Caledonia,2,3
Nueva Zelanda,2,4
Omán,2,2
Países Bajos,2,1
Pakistán,2,2
Palau,2,4
Palestina,2,3
Panamá,2,6
Papúa Nueva Guinea,2,4
Paraguay,2,6
Perú,2,6
Polinesia Francesa,2,3
Polonia,2,1
Portugal,2,1
Puerto Rico,2,3
Qatar,2,2
Reino Unido,2,1
República Centroafricana,2,3
República Checa,2,1
República Dominicana,2,3
Reunión,2,3
Ruanda,2,3
Rumanía,2,1
Rusia,2,2
Sahara Occidental,2,3
Samoa,2,4
Samoa Americana,2,3
San Bartolomé,2,3
San Cristóbal y Nieves,2,3
San Marino,2,3
San Martín (Francia),2,3
San Pedro y Miquelón,2,3
San Vicente y las Granadinas,2,3
Santa Elena,2,3
Santa Lucía,2,3
Santo Tomé y Príncipe,2,3
Senegal,2,3
Serbia,2,3
Seychelles,2,3
Sierra Leona,2,3
Singapur,2,2
Siria,2,2
Somalia,2,3
Sri lanka,2,2
Sudáfrica,2,3
Sudán,2,3
Suecia,2,3
Suiza,2,1
Surinám,2,6
Svalbard y Jan Mayen,2,3
Swazilandia,2,3
Tadjikistán,2,2
Tailandia,2,2
Taiwán,2,3
Tanzania,2,3
Territorio Británico del Océano Índico,2,3
Territorios Australes y Antárticas Franceses,2,3
Timor Oriental,2,2
Togo,2,3
Tokelau,2,3
Tonga,2,4
Trinidad y Tobago,2,3
Tunez,2,3
Turkmenistán,2,2
Turquía,2,2
Tuvalu,2,4
Ucrania,2,3
Uganda,2,3
Uruguay,2,6
Uzbekistán,2,2
Vanuatu,2,4
Venezuela,2,6
Vietnam,2,2
Wallis y Futuna,2,3
Yemen,2,2
Yibuti,2,3
Zambia,2,3
Zimbabue,2,3
Zona 1,5,64
Zona 2,5,64
Zona 3,5,64
Zona 4,5,64
Zona 5,5,64
Zona 6,5,64
Zona 7,5,64
Azuay,3,259
Bolívar,3,258
Cañar,3,259
Carchi,3,254
Chimborazo,3,256
Cotopaxi,3,256
El Oro,3,260
Esmeraldas,3,254
Galápagos,3,258
Guayas,3,258
Imbabura,3,254
Loja,3,260
Los Ríos,3,258
Manabí,3,257
Morona Santiago,3,259
Napo,3,255
Orellana,3,255
Pastaza,3,256
Pichincha,3,255
Santa Elena,3,258
Santo Domingo de los Tsáchilas,3,257
Sucumbíos,3,254
Tunguragua,3,256
Zamora Chinchipe,3,260
 San Lorenzo,4, 268
 Eloy Alfaro,4, 268
 Rioverde,4, 268
Esmeraldas,4, 268
 Muisne,4, 268
 Atacames,4, 268
 Quinindé,4, 268
 Tulcán,4,264
 Mira,4,264
 Espejo,4,264
 Montúfar,4,264
 San Pedro de Huaca,4,264
 Ibarra,4,271
 San Miguel de Urcuquí,4,271
 Cotacachi,4,271
 Antonio Ante,4,271
 Otavalo,4,271
 Pimampiro,4,271
 Sucumbíos,4,282
 Gonzalo Pizarro,4,282
 Cascales,4,282
 Lago Agrio,4,282
 Putumayo,4,282
 Cuyabeno,4,282
 Shushufindi,4,282
 Pedernales,4,274
 Chone,4,274
 Flavio Alfaro,4,274
 El Carmen,4,274
 Jama,4,274
 San Vicente,4,274
 Sucre,4,274
 Tosagua,4,274
 Rocafuerte,4,274
 Junín,4,274
 Pichincha,4,274
 Portoviejo,4,274
 Jaramijó,4,274
 Manta,4,274
 Montecristi,4,274
 Santa Ana,4,274
 Jipijapa,4,274
 Veinticuatro de Mayo,4,274
 Puerto López,4,274
 Paján,4,274
 La Concordia,4, 281
 Santo Domingo,4, 281
 Puerto Quito,4,279
 Pedro Vicente Maldonado,4,279
 San Miguel de Los Bancos,4,279
Distrito Metropolitano de Quito,4,279
 Pedro Moncayo,4,279
 Cayambe,4,279
 Rumiñahui,4,279
 Mejía,4,279
 El Chaco,4, 276
 Quijos,4, 276
 Archidona,4, 276
 Tena,4, 276
 Carlos Julio Arosemena Tola,4, 276
 Loreto,4,277
 Orellana,4,277
 La Joya de los Sachas,4,277
 Aguarico,4,277
 Mera,4,278
 Santa Clara,4,278
 Arajuno,4,278
 Pastaza,4,278
 Buena Fe,4,273
 Valencia,4,273
 Quevedo,4,273
 Quinsaloma,4,273
 Palenque,4,273
 Mocache,4,273
 Ventanas,4,273
 Vinces,4,273
 Baba,4,273
 Puebloviejo,4,273
 Urdaneta,4,273
 Babahoyo,4,273
 Montalvo,4,273
 Sigchos,4,266
 La Maná,4,266
 Latacunga,4,266
 Saquisilí,4,266
 Pujilí,4,266
 Pangua,4,266
 Salcedo,4,266
 Guaranda,4,262
 Las Naves,4,262
 Echeandía,4,262
 Caluma,4,262
 Chimbo,4,262
 San Miguel,4,262
 Chillanes,4,262
 Ambato,4,283
 Píllaro,4,283
 Patate,4,283
 Baños,4,283
 Pelileo,4,283
 Cevallos,4,283
 Tisaleo,4,283
 Mocha,4,283
 Quero,4,283
 Guano,4,265
 Penipe,4,265
 Riobamba,4,265
 Colta,4,265
 Chambo,4,265
 Pallatanga,4,265
 Guamote,4,265
 Alausí,4,265
 Cumandá,4,265
 Chunchi,4,265
 Palora,4,275
 Pablo Sexto,4,275
 Huamboya,4,275
 Morona,4,275
 Taisha,4,275
 Sucúa,4,275
 Santiago,4,275
 Logroño,4,275
 Tiwintza,4,275
 Limón Indanza,4,275
 San Juan Bosco,4,275
 Gualaquiza,4,275
 El Empalme,4,270
 Balzar,4,270
 Colimes,4,270
 Palestina,4,270
 Santa Lucía,4,270
 Pedro Carbo,4,270
 Isidro Ayora,4,270
 Lomas de Sargentillo,4,270
 Nobol,4,270
 Daule,4,270
 Salitre,4,270
 Samborondón,4,270
 Yaguachi,4,270
 Alfredo Baquerizo Moreno,4,270
 Milagro,4,270
 Simón Bolívar,4,270
 Naranjito,4,270
