genero,total,id_ies,,,
HOMBRES,7447,14,,,
HOMBRES,3893,16,,,
HOMBRES,5137,17,,,
HOMBRES,15797,40,,,
HOMBRES,2040,24,,,
HOMBRES,183,33,,,
HOMBRES,603,39,,,
HOMBRES,8158,4,,,
HOMBRES,4589,32,,,
HOMBRES,4116,47,,,
HOMBRES,4220,4,,,
HOMBRES,1983,50,,,
HOMBRES,1262,2,,,
HOMBRES,7507,5,,,
HOMBRES,216,13,,,
HOMBRES,197,9,,,
HOMBRES,2689,15,,,
HOMBRES,782,19,,,
HOMBRES,8512,29,,,
HOMBRES,2234,25,,,
HOMBRES,710,60,,,
HOMBRES,28513,27,,,
HOMBRES,3363,30,,,
HOMBRES,3405,31,,,
HOMBRES,2169,34,,,
HOMBRES,499,49,,,
HOMBRES,198,12,,,
HOMBRES,4646,54,,,
HOMBRES,371,56,,,
HOMBRES,5549,38,,,
HOMBRES,21826,55,,,
HOMBRES,2789,46,,,
HOMBRES,4141,51,,,
HOMBRES,1229,3,,,
HOMBRES,8608,29,,,
HOMBRES,2169,35,,,
HOMBRES,1182,43,,,
HOMBRES,9006,53,,,
HOMBRES,89,6,,,
HOMBRES,874,23,,,
HOMBRES,7581,1,,,
HOMBRES,572,57,,,
HOMBRES,198,58,,,
HOMBRES,9822,7,,,
HOMBRES,1076,8,,,
HOMBRES,751,10,,,
HOMBRES,1564,11,,,
HOMBRES,1063,59,,,
HOMBRES,20108,18,,,
HOMBRES,186,21,,,
HOMBRES,9044,22,,,
HOMBRES,10030,26,,,
HOMBRES,3523,28,,,
HOMBRES,191,37,,,
HOMBRES,4021,42,,,
HOMBRES,8801,48,,,
HOMBRES,1435,41,,,
HOMBRES,4687,36,,,
HOMBRES,7140,45,,,
HOMBRES,2244,52,,,
MUJERES,9478,14,,,
MUJERES,4136,16,,,
MUJERES,6471,17,,,
MUJERES,12269,40,,,
MUJERES,2656,24,,,
MUJERES,227,33,,,
MUJERES,916,39,,,
MUJERES,7744,4,,,
MUJERES,5800,32,,,
MUJERES,4582,47,,,
MUJERES,5993,4,,,
MUJERES,3918,50,,,
MUJERES,1049,2,,,
MUJERES,5056,5,,,
MUJERES,181,13,,,
MUJERES,114,9,,,
MUJERES,2742,15,,,
MUJERES,1367,19,,,
MUJERES,11074,29,,,
MUJERES,2706,25,,,
MUJERES,713,60,,,
MUJERES,36328,27,,,
MUJERES,4860,30,,,
MUJERES,2726,31,,,
MUJERES,3939,34,,,
MUJERES,649,49,,,
MUJERES,210,12,,,
MUJERES,5566,54,,,
MUJERES,213,56,,,
MUJERES,5046,38,,,
MUJERES,29695,55,,,
