total,id_nivel,id_pais
42,3,297
343,3,299
8,3,409
3,3,421
1,3,428
1,3,433
15,3,284
238,3,310
166,3,386
215,3,257
2,3,273
64,3,276
127,3,286
50,3,290
13,3,424
5,3,482
28,3,485
14,3,287
2,3,295
10,3,369
56,3,437
1,3,454
42,3,248
29,3,263
1,3,271
1,3,278
2,3,300
611,3,309
1,3,311
2,3,314
44,3,316
2,3,337
1,3,342
42,3,367
27,3,417
1,3,426
2,3,427
107,3,430
2,3,436
4,3,460
12,3,461
11,3,480
119,3,260
1,1,304
7,1,335
15,1,310
1,1,386
14,1,257
2,1,276
4,1,286
2,1,290
1,1,424
17,1,485
1,1,287
1,1,263
57,1,309
1,1,316
13,2,297
61,2,299
83,2,335
2,2,409
3,2,421
1,2,433
6,2,284
171,2,310
48,2,386
66,2,257
12,2,276
82,2,286
29,2,290
16,2,424
104,2,485
5,2,287
2,2,295
8,2,437
1,2,451
2,2,467
1,2,478
7,2,248
1,2,261
7,2,263
2,2,271
39,2,309
8,2,316
13,2,367
1,2,384
2,2,417
1,2,426
6,2,430
2,2,436
2,2,461
9,2,480
4,2,260
3,3,303
3,3,297
1256,3,299
1,3,335
1,3,409
3,3,421
2,3,284
90,3,310
25,3,386
15,3,257
13,3,276
14,3,286
33,3,290
9,3,424
215,3,485
2,3,287
1,3,295
11,3,338
2,3,340
3,3,369
27,3,437
1,3,483
30,3,248
9,3,263
7,3,271
3,3,300
1,3,307
220,3,309
47,3,316
1,3,323
1,3,342
27,3,367
1,3,389
9,3,417
2,3,426
4,3,427
22,3,430
2,3,432
1,3,460
6,3,461
7,3,480
6,3,260
2,1,299
1,1,428
2,1,310
5,1,257
7,1,286
13,1,290
4,1,424
251,1,485
1,1,287
1,1,340
37,1,309
3,1,316
9,2,303
1,2,393
1,2,405
1,2,458
7,2,297
2336,2,299
3,2,304
2,2,327
1,2,334
8,2,335
3,2,421
1,2,428
58,2,433
9,2,284
94,2,310
38,2,386
29,2,257
1,2,273
5,2,276
30,2,286
184,2,290
1,2,423
34,2,424
1,2,482
1328,2,485
19,2,287
1,2,313
51,2,338
9,2,340
1,2,371
2,2,377
7,2,437
2,2,451
2,2,455
4,2,478
8,2,248
2,2,261
2,2,263
18,2,271
1,2,300
126,2,309
1,2,314
10,2,316
2,2,323
2,2,342
25,2,367
4,2,389
5,2,417
1,2,426
1,2,427
17,2,430
2,2,436
1,2,480
1,2,260
19,3,297
305,3,299
1,3,327
3,3,409
2,3,421
1,3,428
1,3,433
7,3,284
158,3,310
115,3,386
178,3,257
1,3,273
32,3,276
113,3,286
38,3,290
2,3,424
2,3,482
14,3,485
5,3,287
3,3,295
1,3,366
1,3,369
19,3,437
1,3,454
3,3,467
30,3,248
2,3,261
30,3,263
4,3,300
584,3,309
1,3,314
45,3,316
1,3,342
33,3,367
1,3,413
24,3,417
3,3,427
91,3,430
4,3,460
9,3,461
4,3,480
110,3,260
2,1,335
1,1,284
9,1,310
7,1,257
4,1,286
2,1,290
1,1,424
25,1,485
49,1,309
1,1,316
1,1,461
10,2,297
64,2,299
34,2,335
2,2,409
3,2,421
1,2,433
10,2,284
103,2,310
18,2,386
34,2,257
2,2,273
9,2,276
77,2,286
17,2,290
1,2,423
7,2,424
1,2,482
90,2,485
1,2,287
1,2,295
1,2,366
3,2,437
2,2,467
9,2,248
1,2,261
2,2,263
54,2,309
9,2,316
24,2,367
1,2,413
1,2,417
11,2,430
1,2,460
3,2,461
5,2,480
8,2,260
5,3,297
1251,3,299
1,3,327
2,3,409
2,3,421
